'tagfield','tagsubfield','name','repeatable','mandatory'
'610','0','Kvalifikator. (R)',1,0
'610','1','Klassifikasjonskode.',0,0
'610','2','Kilde for emneinnførselen.',0,0
'610','7','Del av dokumentet som emneinnførselen gjelder.',0,0
'611','a','Navn. (24.7, 24.8)',0,0
'611','c','Sted.',0,0
'611','d','Dato.  (R)',1,0
'611','g','Diverse opplysninger.',0,0
'611','n','Nummer.',0,0
'611','q','Forklarende tilføyelse',0,0
'611','t','Tittel for dokument som er emne.',0,0
'611','u','Sorteringsdelfelt for delfelt $t.',0,0
'611','v','Form underavdeling.',0,0
'611','w','Sorteringsdelfelt for delfelt $a.',0,0
'611','x','Underavdeling.  (R)',1,0
'611','y','Kronologisk underavdeling.',0,0
'611','z','Geografisk underavdeling.',0,0
'611','0','Kvalifikator.  (R)',1,0
'611','1','Klassifikasjonskode.',0,0
'611','2','Kilde for emneinnførselen.',0,0
'611','7','Del av dokumentet som emneinnførselen gjelder.',0,0
'630','a','Standardtittel. (25)',0,0
'630','b','Underordnet enhet.',0,0
'630','d','Årstall. (R)',1,0
'630','f','Utgivelsesår.',0,0
'630','i','Serienummer, opusnummer, nummer fra verkfortegnelse.',0,0
'630','k','Form.',0,0
'630','l','Språk i omtalt dokument.',0,0
'630','m','Besetning. (25.29) [Mus]',0,0
'630','n','Nummer for del av verk.',0,0
'630','o','Arrangement. (25.31B2) [Mus]',0,0
'630','p','Tittel for del av verk.',0,0
'630','q','Forklarende tilføyelse',0,0
'630','r','Toneart. (25.31A5) [Mus]',0,0
'630','s','Versjon av omtalt dokument.',0,0
'630','v','Form underavdeling.',0,0
'630','w','Sorteringsdelfelt for delfelt $a.',0,0
'630','x','Underavdeling. (R)',1,0
'630','y','Kronologisk underavdeling. (R)',1,0
'630','z','Geografisk underavdeling. (R)',1,0
'630','0','Kvalifikator. (R)',1,0
'630','1','Klassifikasjonskode.',1,0
'630','2','Kilde for emneinnførselen.',0,0
'630','7','Del av dokumentet som emneinnførselen gjelder.',0,0
'640','a','Tittel.',0,0
'640','n','Nummer for del av verk. (1.1B9, 12.1B3-4)',0,0
'640','p','Tittel for del av verk.',0,0
'640','v','Form underavdeling.',0,0
'640','w','Sorteringsdelfelt for delfelt $a.',0,0
'640','x','Underavdeling. (R)',1,0
'640','y','Kronologisk underavdeling. (R)',1,0
'640','z','Geografisk underavdeling. (R)',1,0
'640','0','Kvalifikator. (R)',1,0
'640','1','Klassifikasjonskode.',0,0
'640','2','Kilde for emneinnførselen.',0,0
'640','7','Del av dokumentet som emneinnførselen gjelder.',0,0
'650','a','Emneord.',0,0
'650','c','Aktive datoer',0,0
'650','d','Sted.',0,0
'650','q','Forklarende tilføyelser.',0,0
'650','v','Form underavdeling.',0,0
'650','w','Sorteringsdelfelt for delfelt $a.',0,0
'650','x','Underavdeling. (R)',1,0
'650','y','Kronologisk underavdeling. (R)',1,0
'650','z','Geografisk underavdeling. (R)',1,0
'650','0','Kvalifikator. (R)',1,0
'650','1','Klassifikasjonskode.',0,0
'650','2','Kilde for emneinnførselen.',0,0
'650','7','Del av dokumentet som emneinnførselen gjelder.',0,0
'650','9','Språk eller språkform',0,0
'651','a','Stedsnavn eller område.',0,0
'651','q','Forklarende tilføyelser.',0,0
'651','v','Form underavdeling.',0,0
'651','w','Sorteringsdelfelt for delfelt $a.',0,0
'651','x','Underavdeling. (R)',1,0
'651','y','Kronologisk underavdeling. (R)',1,0
'651','z','Geografisk underavdeling. (R)',1,0
'651','0','Kvalifikator. (R)',1,0
'651','1','Klassifikasjonskode.',0,0
'651','2','Kilde for emneinnførselen.',0,0
'651','7','Del av dokumentet som emneinnførselen gjelder.',0,0
'651','9','Språk eller språkform',0,0
'652','a','Betegnelse for komposisjonstype.',0,0
'652','w','Sorteringsdelfelt for delfelt $a.',0,0
'652','7','Del av dokumentet som emneinnførselen gjelder.',0,0
'652','9','Språk eller språkform',0,0
'653','a','Fritt nøkkelord.',0,0
'653','w','Sorteringsdelfelt for delfelt $a.',0,0
'653','0','Kvalifikator. (R)',1,0
